indicator_code,diagnosis_group,provider_code,provider_name,spells,observed,expected
I00699,1,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,17,0,0.6657
I00699,1,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,19,*,0.8191
I00699,1,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,8,0,0.2921
I00699,1,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.0177
I00699,1,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,19,0,0.839
I00699,1,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,10,0,0.134
I00699,1,RMC,BOLTON NHS FOUNDATION TRUST,16,0,1.0393
I00699,1,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,6,0,0.3782
I00699,1,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,8,0,0.2299
I00699,1,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,6,*,0.4374
I00699,1,RN7,DARTFORD AND GRAVESHAM NHS TRUST,12,0,0.5792
I00699,1,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,15,*,1.343
I00699,1,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,*,0,0.2148
I00699,1,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.3492
I00699,1,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,6,0,0.1921
I00699,1,RNZ,SALISBURY NHS FOUNDATION TRUST,*,0,0
I00699,1,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,*,0,0.0503
I00699,1,RPA,MEDWAY NHS FOUNDATION TRUST,*,*,0.1401
I00699,1,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,24,*,0.7495
I00699,1,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,8,*,0.5215
I00699,1,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,37,*,1.062
I00699,1,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,*,0,0.1708
I00699,1,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,26,*,0.6473
I00699,1,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,60,*,2.2659
I00699,1,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,*,0,0.092
I00699,1,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,31,*,1.7809
I00699,1,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,*,0.1944
I00699,1,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,25,*,1.0492
I00699,1,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,34,*,0.6404
I00699,1,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,26,0,0.7536
I00699,1,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,9,0,0.4755
I00699,1,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,*,0,0.0201
I00699,1,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,11,*,0.296
I00699,1,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,23,*,0.559
I00699,1,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,0,0.4478
I00699,1,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,16,*,1.229
I00699,1,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,6,0,0.3292
I00699,1,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,*,0,0.2721
I00699,1,RVJ,NORTH BRISTOL NHS TRUST,28,*,1.065
I00699,1,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,9,0,0.839
I00699,1,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,19,*,0.4862
I00699,1,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,7,0,1.0419
I00699,1,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,*,0,0.0654
I00699,1,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,59,*,0.6429
I00699,1,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,60,*,3.6858
I00699,1,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,11,*,1.2269
I00699,1,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,*,*,0.789
I00699,1,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,55,*,2.4251
I00699,1,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,*,0,0.0811
I00699,1,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,20,*,1.7456
I00699,1,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,*,0,0.2702
I00699,1,RWJ,STOCKPORT NHS FOUNDATION TRUST,7,*,0.5888
I00699,1,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,6,0,0.7494
I00699,1,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,*,0,0.007
I00699,1,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,9,*,1.1497
I00699,1,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,23,0,0.816
I00699,1,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,*,*,0.3695
I00699,1,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,14,0,0.3535
I00699,1,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,19,*,0.9742
I00699,1,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,40,*,2.4488
I00699,1,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,*,0,0.0736
I00699,1,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,14,*,1.5236
I00699,1,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,*,0,0.2796
I00699,1,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,*,0,0.3292
I00699,1,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,18,*,1.2641
I00699,1,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,7,*,0.4085
I00699,1,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,84,*,3.7105
I00699,1,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,8,*,0.8679
I00699,2,R1F,ISLE OF WIGHT NHS TRUST,315,75,78.8588
I00699,2,R1H,BARTS HEALTH NHS TRUST,731,138,127.8869
I00699,2,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,631,94,105.7883
I00699,2,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,220,46,47.2222
I00699,2,RA3,WESTON AREA HEALTH NHS TRUST,181,44,39.9516
I00699,2,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,186,41,41.7793
I00699,2,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,486,58,71.4765
I00699,2,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,582,112,150.4579
I00699,2,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,279,52,55.4685
I00699,2,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,361,105,79.5299
I00699,2,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,553,97,108.7715
I00699,2,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,186,55,39.7868
I00699,2,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,169,31,30.3796
I00699,2,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,322,94,71.9957
I00699,2,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,558,117,122.6047
I00699,2,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,226,44,46.9875
I00699,2,RBK,WALSALL HEALTHCARE NHS TRUST,317,82,73.5111
I00699,2,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,619,162,142.4951
I00699,2,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,611,111,118.7668
I00699,2,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,374,101,81.6076
I00699,2,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,216,46,47.0738
I00699,2,RC1,BEDFORD HOSPITAL NHS TRUST,281,52,61.4054
I00699,2,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,412,95,84.7473
I00699,2,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,386,106,97.6143
I00699,2,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,130,26,25.3792
I00699,2,RCF,AIREDALE NHS FOUNDATION TRUST,184,30,37.9361
I00699,2,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",572,120,144.204
I00699,2,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,531,132,126.1468
I00699,2,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,408,55,88.3992
I00699,2,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,352,61,68.2307
I00699,2,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1488,329,372.4518
I00699,2,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,539,130,120.0996
I00699,2,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1055,212,200.3147
I00699,2,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,287,42,66.761
I00699,2,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,161,49,37.1477
I00699,2,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,330,89,70.0103
I00699,2,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,379,83,74.7768
I00699,2,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",450,98,94.0668
I00699,2,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,277,65,57.5657
I00699,2,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,139,29,24.9982
I00699,2,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,262,61,59.4389
I00699,2,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,621,97,130.4031
I00699,2,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,284,53,59.1285
I00699,2,RGQ,IPSWICH HOSPITAL NHS TRUST,475,89,111.9635
I00699,2,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,400,77,94.7535
I00699,2,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,296,53,55.5193
I00699,2,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,352,62,75.9979
I00699,2,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,373,76,71.1946
I00699,2,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,632,133,130.6301
I00699,2,RHU,PORTSMOUTH HOSPITALS NHS TRUST,625,133,136.9055
I00699,2,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,504,87,98.416
I00699,2,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,175,23,29.1141
I00699,2,RJ2,LEWISHAM AND GREENWICH NHS TRUST,596,103,100.9385
I00699,2,RJ6,CROYDON HEALTH SERVICES NHS TRUST,339,67,60.392
I00699,2,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,366,65,64.5596
I00699,2,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,246,30,41.3814
I00699,2,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,455,44,82.5036
I00699,2,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,192,28,41.7343
I00699,2,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,422,99,94.7297
I00699,2,RJN,EAST CHESHIRE NHS TRUST,227,42,44.951
I00699,2,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,427,83,90.4926
I00699,2,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,579,114,98.2917
I00699,2,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,476,134,121.2742
I00699,2,RK9,PLYMOUTH HOSPITALS NHS TRUST,587,106,118.2665
I00699,2,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,446,77,83.3896
I00699,2,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,256,48,51.5092
I00699,2,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,477,91,84.7161
I00699,2,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,465,100,94.7812
I00699,2,RLQ,WYE VALLEY NHS TRUST,179,43,36.7396
I00699,2,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,156,40,31.4677
I00699,2,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,661,120,146.6576
I00699,2,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,222,24,38.3661
I00699,2,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,484,79,105.8755
I00699,2,RMC,BOLTON NHS FOUNDATION TRUST,625,175,140.9311
I00699,2,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,142,53,34.2985
I00699,2,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,480,100,99.3363
I00699,2,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,432,94,93.6035
I00699,2,RN7,DARTFORD AND GRAVESHAM NHS TRUST,349,71,72.1919
I00699,2,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,476,163,114.7162
I00699,2,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,295,81,64.3771
I00699,2,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,212,43,46.9576
I00699,2,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,393,63,68.1819
I00699,2,RNZ,SALISBURY NHS FOUNDATION TRUST,209,39,45.5058
I00699,2,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,390,95,81.3329
I00699,2,RPA,MEDWAY NHS FOUNDATION TRUST,452,128,102.5256
I00699,2,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,549,110,108.1231
I00699,2,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,491,98,122.95
I00699,2,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,349,56,58.9386
I00699,2,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,240,52,53.9035
I00699,2,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,261,49,56.0442
I00699,2,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,145,25,20.1834
I00699,2,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,925,208,195.9987
I00699,2,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,433,100,101.218
I00699,2,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,917,109,130.1197
I00699,2,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",267,80,55.4922
I00699,2,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,565,75,93.5845
I00699,2,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,221,26,32.0707
I00699,2,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,555,87,90.4399
I00699,2,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,390,88,77.5195
I00699,2,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,584,142,130.497
I00699,2,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,919,162,201.9245
I00699,2,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,599,76,113.7207
I00699,2,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,401,95,83.4722
I00699,2,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,290,70,58.0904
I00699,2,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,571,112,112.165
I00699,2,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,362,93,73.13
I00699,2,RVJ,NORTH BRISTOL NHS TRUST,314,64,72.8977
I00699,2,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,444,99,99.4142
I00699,2,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1129,295,256.9571
I00699,2,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,363,58,71.8597
I00699,2,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,267,54,53.4504
I00699,2,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,262,41,33.254
I00699,2,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,460,73,81.4723
I00699,2,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,385,116,70.5238
I00699,2,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,743,272,199.5605
I00699,2,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,1001,182,175.5731
I00699,2,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,461,89,87.3694
I00699,2,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,277,39,51.8735
I00699,2,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,321,74,62.422
I00699,2,RWJ,STOCKPORT NHS FOUNDATION TRUST,380,76,90.8946
I00699,2,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,493,108,103.8162
I00699,2,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,248,55,49.1343
I00699,2,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,284,66,58.0254
I00699,2,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1334,229,273.7003
I00699,2,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,420,103,97.3329
I00699,2,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,443,129,97.2481
I00699,2,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,425,55,70.5917
I00699,2,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,291,61,56.092
I00699,2,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,476,117,103.3955
I00699,2,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,736,167,165.0305
I00699,2,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,539,126,108.2571
I00699,2,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,885,132,181.3117
I00699,2,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,403,89,73.7732
I00699,2,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,486,121,106.0758
I00699,2,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,565,98,98.8899
I00699,2,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,655,161,151.1315
I00699,3,R1F,ISLE OF WIGHT NHS TRUST,11,0,0.2864
I00699,3,R1H,BARTS HEALTH NHS TRUST,72,*,3.7706
I00699,3,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,38,0,3.0917
I00699,3,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,20,0,1.823
I00699,3,RA3,WESTON AREA HEALTH NHS TRUST,12,0,1.7694
I00699,3,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0229
I00699,3,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,33,*,2.2072
I00699,3,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,20,0,1.0344
I00699,3,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,17,*,1.0587
I00699,3,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,10,*,0.9398
I00699,3,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,43,*,4.4223
